추첨일,회차,Num1,Num2,Num3,Num4,Num5,Num6,bnsNum,총판매금액,총1등당첨금,1등당첨인원,1등수령액
2021-04-10,958,2,9,10,16,35,37,1,98635947000,23941795125,15,1596119675
2021-04-17,959,1,14,15,24,40,41,35,97435835000,24122503128,8,3015312891
2021-04-24,960,2,18,24,30,32,45,14,98784879000,24011332130,10,2401133213
2021-05-01,961,11,20,29,31,33,42,43,97153309000,23177080881,9,2575231209
2021-05-08,962,1,18,28,31,34,43,40,95956365000,23290873128,12,1940906094
2021-05-15,963,6,12,19,23,34,42,35,95452215000,22147171875,15,1476478125
2021-05-22,964,6,21,36,38,39,43,30,95549895000,23458610630,10,2345861063
2021-05-29,965,2,13,25,28,29,36,34,96174650000,23823442503,7,3403348929
2021-06-05,966,1,21,25,29,34,37,36,95640447000,24113035130,10,2411303513
2021-06-12,967,1,6,13,37,38,40,9,94515565000,23239104376,4,5809776094
2021-06-19,968,2,5,12,14,24,39,33,95924229000,21680485879,13,1667729683
2021-06-26,969,3,9,10,29,40,45,7,96728751000,22988557880,20,1149427894
2021-07-03,970,9,11,16,21,28,36,5,93268371000,22561616630,14,1611544045
2021-07-10,971,2,6,17,18,21,26,7,94471924000,22355281500,6,3725880250
2021-07-17,972,3,6,17,23,37,39,26,93916813000,22497724880,20,1124886244
2021-07-24,973,22,26,31,37,41,42,24,93953872000,23301942000,8,2912742750
2021-07-31,974,1,2,11,16,39,44,32,94146055000,22389586891,17,1317034523
2021-08-07,975,7,8,9,17,22,24,5,94253719000,21963693375,9,2440410375
2021-08-14,976,4,12,14,25,35,37,2,97492178000,22707070505,7,3243867215
2021-08-21,977,2,9,10,14,22,44,16,95895844000,23378682754,14,1669905911
2021-08-28,978,1,7,15,32,34,42,8,98855197000,23733913880,10,2373391388
2021-09-04,979,7,11,16,21,27,33,24,99507886000,22489607252,14,1606400518
2021-09-11,980,3,13,16,23,24,35,14,99593380000,23866102505,7,3409443215
2021-09-18,981,27,36,37,41,43,45,32,105645424000,25907221509,13,1992863193
2021-09-25,982,5,7,13,20,21,44,33,101344251000,24189045376,8,3023630672
2021-10-02,983,13,23,26,31,35,43,15,101899006000,25034222250,10,2503422225
2021-10-09,984,3,10,23,35,36,37,18,98762367000,24171043876,7,3453006268
2021-10-16,985,17,21,23,30,34,44,19,98811446000,24347529750,10,2434752975
2021-10-23,986,7,10,16,28,41,42,40,99041240000,23752751250,10,2375275125
2021-10-30,987,2,4,15,23,29,38,7,100269530000,23787116250,10,2378711625
2021-11-06,988,2,13,20,30,31,41,27,98606195000,24106404375,9,2678489375
2021-11-13,989,17,18,21,27,29,33,26,96525658000,23307074252,4,5826768563
2021-11-20,990,2,4,25,26,36,37,28,99567047000,24361333878,14,1740095277
2021-11-27,991,13,18,25,31,33,44,38,98026282000,23233328256,8,2904166032
2021-12-04,992,12,20,26,33,44,45,24,97066498000,23843466756,12,1986955563
2021-12-11,993,6,14,16,18,24,42,44,99323653000,23947182378,6,3991197063
2021-12-18,994,1,3,8,24,27,35,28,95530936000,22338984756,12,1861582063
2021-12-25,995,1,4,13,29,38,39,7,100878455000,24130903125,7,3447271875
2022-01-01,996,6,11,15,24,32,39,28,112624327000,26841343878,18,1491185771
2022-01-08,997,4,7,14,16,24,44,20,102431961000,23821241640,19,1253749560
2022-01-15,998,13,17,18,20,42,45,41,101681869000,24917995884,12,2076499657
2022-01-22,999,1,3,9,14,18,28,34,102581351000,24212396640,16,1513274790
2022-01-29,1000,2,8,19,22,32,42,39,118628811000,27430031640,22,1246819620
2022-02-05,1001,6,10,12,14,20,42,15,103967487000,24927355128,12,2077279594
2022-02-12,1002,17,25,33,35,38,45,15,105795484000,24707596504,8,3088449563
2022-02-19,1003,1,4,29,39,43,45,31,103479378000,25355635508,14,1811116822
2022-02-26,1004,7,15,30,37,39,44,18,106112471000,25762519130,10,2576251913
2022-03-05,1005,8,13,18,24,27,29,17,103755249000,24734392128,12,2061199344
2022-03-12,1006,8,11,15,16,17,37,36,104542431000,25700419125,9,2855602125
2022-03-19,1007,8,11,16,19,21,25,40,101530003000,24469077375,9,2718786375
2022-03-26,1008,9,11,30,31,41,44,33,103727042000,24941157010,11,2267377910
